company,sector,issue_size,fresh_vs_ofs_ratio,price_band,sub_retail,sub_nii,sub_qib,sub_overall,gmp_trend,actual_listing_gain_pct,source_url,listing_gain_bucket,data_source,is_sme,listing_date,anchor_allocation_pct,relative_issue_size,gmp_trajectory,market_regime_nifty_30d
Synoptics Technologies Limited,Technology,54.03,0.5,237.0,2751600.0,2799000.0,0.0,5761800.0,flat,0.0,https://www.chittorgarh.com/ipo/synoptics-technologies-ipo/1451/,flat,real_scraped,False,2019-10-24,12.65,1.11,0.05,-3.05
Affle (India) Limited,Other,459.0,0.5,745.0,6751940.0,0.0,101525100.0,292146020.0,flat,0.0,https://www.chittorgarh.com/ipo/affle-ipo/1005/,flat,real_scraped,False,2019-11-01,19.04,2.0,-0.06,-0.43
Tejas Networks Limited,Other,776.69,0.5,257.0,9510875.0,0.0,20411105.0,32143870.0,flat,0.0,https://www.chittorgarh.com/ipo/tejas-networks-ipo/667/,flat,real_scraped,True,2019-11-05,11.07,1.03,-0.05,-4.82
Rashi Peripherals Limited,Other,600.0,0.5,311.0,74327712.0,0.0,584390736.0,850161936.0,flat,0.0,https://www.chittorgarh.com/ipo/rashi-peripherals-ipo/1634/,flat,real_scraped,True,2019-11-08,30.91,1.37,0.05,-4.0
Sigachi Industries Limited,Other,125.43,0.5,163.0,216778770.0,0.0,133137000.0,548947440.0,flat,0.0,https://www.chittorgarh.com/ipo/sigachi-industries-ipo/1175/,flat,real_scraped,True,2019-11-19,43.19,2.95,-0.09,5.91
Sealmatic India Limited,Other,56.24,0.5,225.0,12025800.0,16719600.0,3308400.0,32053800.0,flat,0.0,https://www.chittorgarh.com/ipo/sealmatic-india-ipo/1380/,flat,real_scraped,False,2019-11-22,29.36,2.18,-0.06,-2.63
MTAR Technologies Limited,Technology,596.41,0.5,575.0,103094082.0,0.0,342273022.0,1457903122.0,flat,0.0,https://www.chittorgarh.com/ipo/mtar-technologies-ipo/1088/,flat,real_scraped,False,2019-11-29,27.86,1.49,-0.0,5.75
Azad Engineering Limited,Manufacturing,740.0,0.5,524.0,120471708.0,0.0,504638624.0,816409468.0,flat,0.0,https://www.chittorgarh.com/ipo/azad-engineering-ipo/1597/,flat,real_scraped,False,2019-12-05,28.2,2.29,0.04,-4.5
Jay Bee Laminations Limited,Other,88.96,0.5,146.0,181565000.0,200649000.0,82479000.0,464693000.0,flat,0.0,https://www.chittorgarh.com/ipo/jay-bee-laminations-ipo/1817/,flat,real_scraped,False,2019-12-18,10.89,2.03,-0.09,7.47
Accent Microcell Limited,Other,78.4,0.5,140.0,763332000.0,460207000.0,126062000.0,1349601000.0,flat,0.0,https://www.chittorgarh.com/ipo/accent-microcell-ipo/1583/,flat,real_scraped,False,2019-12-25,40.15,0.64,-0.05,2.48
Kross Limited,Other,500.0,0.5,240.0,82107344.0,0.0,102281462.0,257501624.0,flat,0.0,https://www.chittorgarh.com/ipo/kross-ipo/1839/,flat,real_scraped,False,2020-01-08,42.1,2.66,-0.03,2.23
Mrs. Bectors Food Specialities Limited,Consumer Goods,540.54,0.5,288.0,193828350.0,0.0,667864500.0,2621042200.0,flat,0.0,https://www.chittorgarh.com/ipo/mrs-bectors-food-ipo/1077/,flat,real_scraped,False,2020-01-21,22.48,0.89,-0.09,5.96
Suraksha Diagnostic Limited,Other,846.25,0.5,441.0,6299078.0,0.0,6667332.0,17008534.0,flat,0.0,https://www.chittorgarh.com/ipo/suraksha-diagnostic-ipo/1918/,flat,real_scraped,False,2020-01-26,34.41,1.81,-0.06,5.18
Latent View Analytics Limited,Other,600.0,0.5,197.0,372996524.0,0.0,1362842792.0,5721882528.0,flat,0.0,https://www.chittorgarh.com/ipo/latent-view-analytics-ipo/1178/,flat,real_scraped,True,2020-02-08,28.92,1.28,0.03,3.76
Valiant Laboratories Limited,Other,152.46,0.5,140.0,61198410.0,0.0,45361155.0,226848510.0,flat,0.0,https://www.chittorgarh.com/ipo/valiant-laboratories-ipo/1525/,flat,real_scraped,False,2020-02-14,20.17,1.38,0.0,6.96
Enviro Infra Engineers Limited,Infrastructure,650.43,0.5,148.0,375704446.0,0.0,1377255089.0,2768312737.0,flat,0.0,https://www.chittorgarh.com/ipo/enviro-infra-engineers-ipo/1911/,flat,real_scraped,False,2020-02-25,20.25,2.97,0.1,-3.9
Pelatro Limited,Other,55.98,0.5,200.0,11490600.0,21705000.0,7933800.0,41179800.0,flat,0.0,https://www.chittorgarh.com/ipo/pelatro-ipo/1856/,flat,real_scraped,False,2020-03-07,38.68,2.49,0.03,-4.49
DAM Capital Advisors Limited,Financial Services,840.25,0.5,283.0,277815135.0,0.0,985397571.0,1703538349.0,flat,0.0,https://www.chittorgarh.com/ipo/dam-capital-advisors-ipo/1936/,flat,real_scraped,False,2020-03-19,44.06,1.53,-0.05,-1.47
BLS E-Services Limited,Other,310.91,0.5,135.0,490254120.0,0.0,766713708.0,2225062008.0,flat,0.0,https://www.chittorgarh.com/ipo/bls-e-services-ipo/1632/,flat,real_scraped,False,2020-04-02,40.13,2.52,0.03,-4.03
Tamilnad Mercantile Bank Limited,Financial Services,807.84,0.5,510.0,10264268.0,0.0,7686392.0,24940972.0,flat,0.0,https://www.chittorgarh.com/ipo/tamilnad-mercantile-bank-ipo/1287/,flat,real_scraped,False,2020-04-12,10.01,1.02,-0.05,4.03
Bharat Road Network Limited,Other,600.65,0.5,205.0,16662250.0,0.0,29164230.0,53005154.0,flat,0.0,https://www.chittorgarh.com/ipo/bharat-road-network-ipo/703/,flat,real_scraped,False,2020-04-17,25.64,0.85,-0.06,2.79
One Mobikwik Systems Limited,Other,572.0,0.5,279.0,290674313.0,0.0,773842188.0,1417264944.0,flat,0.0,https://www.chittorgarh.com/ipo/mobikwik-ipo/1928/,flat,real_scraped,False,2020-04-29,42.32,0.89,0.09,0.96
Craftsman Automation Limited,Manufacturing,823.7,0.5,1490.0,6649490.0,0.0,5762030.0,14764200.0,flat,-99.93,https://www.chittorgarh.com/ipo/craftsman-automation-ipo/1095/,loss,real_scraped,False,2020-05-02,32.88,1.38,-0.02,-0.78
Aelea Commodities Limited,Other,51.0,0.5,95.0,294542400.0,298488000.0,106303200.0,699333600.0,flat,0.0,https://www.chittorgarh.com/ipo/aelea-commodities-ipo/1770/,flat,real_scraped,False,2020-05-10,43.32,2.09,0.03,3.96
ATC Energies System Limited,Other,63.76,0.5,118.0,4471200.0,1462800.0,853200.0,6787200.0,flat,0.0,https://www.chittorgarh.com/ipo/atc-energies-ipo/2210/,flat,real_scraped,False,2020-05-14,25.32,2.3,-0.1,-3.23
Ganesh Infraworld Limited,Infrastructure,98.58,0.5,83.0,1027649600.0,1389468800.0,349534400.0,2766652800.0,flat,0.0,https://www.chittorgarh.com/ipo/ganesh-infraworld-ipo/1915/,flat,real_scraped,False,2020-05-24,14.97,2.11,0.03,0.65
Western Carriers (India) Limited,Other,492.88,0.5,172.0,269992668.0,0.0,165092679.0,635712654.0,flat,0.0,https://www.chittorgarh.com/ipo/western-carriers-india-ipo/1844/,flat,real_scraped,False,2020-06-01,19.61,1.09,-0.05,4.76
HMA Agro Industries Limited,Other,480.0,0.5,585.0,2920875.0,0.0,3015075.0,9793625.0,flat,0.0,https://www.chittorgarh.com/ipo/hma-agro-industries-ipo/1435/,flat,real_scraped,False,2020-06-05,42.54,1.68,-0.04,6.93
Unihealth Consultancy Limited,Healthcare,56.55,0.5,132.0,35044000.0,22971000.0,12150000.0,70165000.0,flat,0.0,https://www.chittorgarh.com/ipo/unihealth-consultancy-ipo/1497/,flat,real_scraped,True,2020-06-19,37.86,2.46,-0.04,7.17
Quadrant Future Tek Limited,Other,290.0,0.5,290.0,256457450.0,0.0,419310850.0,1077806650.0,flat,0.0,https://www.chittorgarh.com/ipo/quadrant-future-tek-ipo/1954/,flat,real_scraped,False,2020-07-03,27.44,1.75,0.09,-4.05
East India Securities Ltd,Other,92.74,0.5,920.0,0.0,0.0,0.0,1667360.0,flat,0.0,https://www.chittorgarh.com/ipo/east-india-securities-ipo/821/,flat,real_scraped,False,2020-07-17,26.99,2.54,0.02,2.27
eMudhra Limited,Other,412.79,0.5,256.0,15043170.0,0.0,12687152.0,30902516.0,flat,0.0,https://www.chittorgarh.com/ipo/emudhra-ipo/1254/,flat,real_scraped,False,2020-07-29,26.72,0.78,-0.04,-1.87
Likhitha Infrastructure Ltd,Infrastructure,61.2,0.5,120.0,0.0,0.0,0.0,5100000.0,flat,0.0,https://www.chittorgarh.com/ipo/likhitha-infrastructure-ipo/1062/,flat,real_scraped,False,2020-08-03,18.45,1.8,-0.04,-3.58
B.R.Goyal Infrastructure Limited,Infrastructure,85.21,0.5,135.0,184128000.0,229665000.0,83298000.0,497133000.0,flat,0.0,https://www.chittorgarh.com/ipo/brgoyal-ipo/1958/,flat,real_scraped,False,2020-08-06,26.43,1.28,-0.05,-2.54
Vishnu Prakash R Punglia Limited,Other,308.88,0.5,99.0,346241700.0,0.0,1061059500.0,1925837550.0,flat,0.0,https://www.chittorgarh.com/ipo/vishnu-prakash-r-punglia-ipo/1485/,flat,real_scraped,True,2020-08-17,13.36,2.18,0.01,4.61
Veranda Learning Solutions Limited,Other,200.0,0.5,137.0,16560300.0,0.0,16063700.0,41555000.0,flat,0.0,https://www.chittorgarh.com/ipo/veranda-learning-ipo/1236/,flat,real_scraped,False,2020-08-29,24.6,2.74,0.07,0.54
Rolex Rings Limited,Other,731.0,0.5,900.0,69625584.0,0.0,233235472.0,741600096.0,flat,0.0,https://www.chittorgarh.com/ipo/rolex-rings-ipo/1129/,flat,real_scraped,False,2020-09-04,25.64,1.25,-0.02,-2.37
Sirca Paints India Limited,Other,77.92,0.5,160.0,14904800.0,22410400.0,0.0,38471200.0,flat,0.0,https://www.chittorgarh.com/ipo/sirca-paints-ipo/869/,flat,real_scraped,False,2020-09-14,35.25,0.91,0.09,5.49
Vilas Transcore Limited,Other,95.26,0.5,147.0,326166000.0,415072000.0,141122000.0,882360000.0,flat,0.0,https://www.chittorgarh.com/ipo/vilas-transcore-ipo/1731/,flat,real_scraped,False,2020-09-18,20.82,1.21,0.08,2.16
CFF Fluid Control Limited,Other,85.8,0.5,165.0,3908000.0,6443200.0,0.0,10353600.0,flat,0.0,https://www.chittorgarh.com/ipo/cff-fluid-control-ipo/1427/,flat,real_scraped,False,2020-09-30,23.11,2.03,-0.0,-0.05
Danish Power Limited,Manufacturing,197.9,0.5,380.0,136550400.0,202220100.0,102332100.0,441145800.0,flat,0.0,https://www.chittorgarh.com/ipo/danish-power-ipo/1892/,flat,real_scraped,False,2020-10-07,31.0,2.95,-0.0,6.5
Chandan Healthcare Limited,Healthcare,107.36,0.5,159.0,5272800.0,17452000.0,9356800.0,32132800.0,flat,0.0,https://www.chittorgarh.com/ipo/chandan-healthcare-ipo/1982/,flat,real_scraped,False,2020-10-13,16.43,2.18,-0.01,0.09
CSB Bank Limited,Financial Services,409.68,0.5,195.0,93403200.0,0.0,391921425.0,1004297100.0,flat,0.0,https://www.chittorgarh.com/ipo/csb-bank-ipo/1021/,flat,real_scraped,False,2020-10-26,15.27,1.33,-0.05,4.16
Shivalic Power Control Limited,Manufacturing,64.32,0.5,100.0,491034000.0,399018000.0,207651600.0,1097703600.0,flat,0.0,https://www.chittorgarh.com/ipo/shivalic-power-control-ipo/1756/,flat,real_scraped,True,2020-11-09,15.37,2.95,-0.05,4.2
Ethos Limited,Other,472.29,0.5,878.0,1636284.0,0.0,1258612.0,4138650.0,flat,0.0,https://www.chittorgarh.com/ipo/ethos-limited-ipo/1247/,flat,real_scraped,False,2020-11-22,22.18,2.91,0.05,7.87
Eleganz Interiors Limited,Other,78.07,0.5,130.0,42815000.0,51721000.0,27894000.0,122430000.0,flat,0.0,https://www.chittorgarh.com/ipo/eleganz-interiors-ipo/1978/,flat,real_scraped,False,2020-11-25,32.23,2.02,0.08,-0.33
Inox Green Energy Services Limited,Other,740.0,0.5,65.0,57005960.0,0.0,38113530.0,103739890.0,flat,0.0,https://www.chittorgarh.com/ipo/inox-green-energy-ipo/1335/,flat,real_scraped,False,2020-11-28,27.78,2.02,0.08,5.02
S.J.S. Enterprises Limited,Other,800.0,0.5,542.0,7291755.0,0.0,4271022.0,16797537.0,flat,0.0,https://www.chittorgarh.com/ipo/sjs-enterprises-ipo/1168/,flat,real_scraped,True,2020-12-09,23.15,2.82,0.02,-2.8
MAS Financial Services Ltd,Other,460.04,0.5,459.0,55532512.0,0.0,294737952.0,914797248.0,flat,0.0,https://www.chittorgarh.com/ipo/mas-financial-ipo/739/,flat,real_scraped,False,2020-12-21,15.5,0.68,0.08,-2.4
Chemcon Speciality Chemicals Limited,Other,318.0,0.5,340.0,135104420.0,0.0,212124704.0,979286968.0,flat,0.0,https://www.chittorgarh.com/ipo/chemcon-ipo/1060/,flat,real_scraped,False,2020-12-30,16.16,2.95,0.07,2.42
Agarwal Toughened Glass India Limited,Other,62.64,0.5,108.0,20624400.0,12525600.0,4941600.0,38091600.0,flat,0.0,https://www.chittorgarh.com/ipo/agarwal-toughened-glass-india-ipo/1914/,flat,real_scraped,False,2021-01-03,32.44,2.77,-0.08,4.78
Yatharth Hospital and Trauma Care Services Limited,Healthcare,686.55,0.5,300.0,69330450.0,0.0,395317750.0,597219650.0,flat,0.0,https://www.chittorgarh.com/ipo/yatharth-hospital-ipo/1464/,flat,real_scraped,False,2021-01-17,14.58,1.75,0.01,-3.47
SAR Televenture Limited	 FPO,Other,150.0,0.5,210.0,16255000.0,12039000.0,11848500.0,40142500.0,flat,0.0,https://www.chittorgarh.com/ipo/sar-televenture-fpo/1776/,flat,real_scraped,False,2021-01-23,31.75,1.41,0.02,6.33
KRN Heat Exchanger and Refrigeration Limited,Other,341.95,0.5,220.0,531887980.0,0.0,786300710.0,2345988580.0,flat,0.0,https://www.chittorgarh.com/ipo/krn-heat-exchanger-ipo/1864/,flat,real_scraped,False,2021-02-05,14.53,2.42,-0.04,7.25
Vasa Denticity Limited,Other,54.07,0.5,128.0,81534000.0,93964000.0,29885000.0,205383000.0,flat,0.0,https://www.chittorgarh.com/ipo/vasa-denticity-ipo/1422/,flat,real_scraped,False,2021-02-16,37.84,1.25,-0.1,3.4
Virtual Galaxy Infotech Limited,Technology,93.29,0.5,142.0,294867000.0,560755000.0,161367000.0,1016989000.0,flat,0.0,https://www.chittorgarh.com/ipo/virtual-galaxy-infotech-ipo/2339/,flat,real_scraped,True,2021-02-27,29.0,0.55,-0.04,4.44
Vital Chemtech Limited,Technology,64.64,0.5,101.0,249171600.0,186097200.0,47012400.0,482281200.0,flat,0.0,https://www.chittorgarh.com/ipo/vital-chemtech-ipo/1323/,flat,real_scraped,False,2021-03-10,18.46,2.88,-0.06,-4.04
Khadim India Limited,Other,543.06,0.5,750.0,5919840.0,0.0,3545640.0,9659000.0,flat,0.0,https://www.chittorgarh.com/ipo/khadim-india-ipo/755/,flat,real_scraped,False,2021-03-16,35.7,0.95,-0.0,-2.68
Tunwal E-Motors Limited,Manufacturing,115.64,0.5,59.0,154916000.0,70826000.0,0.0,229236000.0,flat,0.0,https://www.chittorgarh.com/ipo/tunwal-e-motors-ipo/1775/,flat,real_scraped,False,2021-03-22,32.43,2.23,-0.0,-2.6
Heranba Industries Limited,Other,625.24,0.5,627.0,41324583.0,0.0,134588157.0,581501663.0,flat,0.0,https://www.chittorgarh.com/ipo/heranba-industries-ipo/1085/,flat,real_scraped,True,2021-04-04,16.91,0.64,-0.06,7.74
Shri Ahimsa Naturals Limited,Other,73.81,0.5,119.0,72867600.0,161686800.0,24838800.0,259393200.0,flat,0.0,https://www.chittorgarh.com/ipo/shri-ahimsa-naturals-ipo/2208/,flat,real_scraped,False,2021-04-16,14.71,1.4,0.1,-4.61
Northern Arc Capital Limited,Financial Services,777.0,0.5,263.0,324969882.0,0.0,1408133928.0,2379507465.0,flat,0.0,https://www.chittorgarh.com/ipo/northern-arc-capital-ipo/1855/,flat,real_scraped,False,2021-04-20,40.62,2.04,-0.09,2.6
RailTel Corporation of India Limited,Other,819.24,0.5,94.0,508997680.0,0.0,1131450400.0,2594243370.0,flat,0.0,https://www.chittorgarh.com/ipo/railtel-ipo/1073/,flat,real_scraped,False,2021-04-26,28.38,1.93,0.03,2.36
Route Mobile Ltd,Other,600.0,0.5,350.0,77129000.0,0.0,312221040.0,892341080.0,flat,0.0,https://www.chittorgarh.com/ipo/route-mobile-ipo/1058/,flat,real_scraped,False,2021-05-01,32.64,2.79,0.07,4.2
Positron Energy Limited,Other,51.21,0.5,250.0,239853000.0,235465200.0,89971200.0,565289400.0,flat,0.0,https://www.chittorgarh.com/ipo/positron-energy-ipo/1804/,flat,real_scraped,False,2021-05-15,29.74,1.81,-0.03,-3.23
Laxmi Organic Industries Limited,Other,600.0,0.5,130.0,327257225.0,0.0,1631902900.0,3477452570.0,flat,0.0,https://www.chittorgarh.com/ipo/laxmi-organic-ipo/1096/,flat,real_scraped,True,2021-05-23,13.75,2.3,-0.04,6.45
Senores Pharmaceuticals Limited,Healthcare,582.11,0.5,391.0,137996126.0,0.0,434778102.0,797231982.0,flat,0.0,https://www.chittorgarh.com/ipo/senores-pharmaceuticals-ipo/1943/,flat,real_scraped,False,2021-05-28,39.16,2.14,-0.08,-2.63
Motisons Jewellers Limited,Other,151.09,0.5,55.0,1303820500.0,0.0,741794250.0,3331208000.0,flat,0.0,https://www.chittorgarh.com/ipo/motisons-jewellers-ipo/1587/,flat,real_scraped,False,2021-06-02,30.71,2.23,0.09,-0.84
Aimtron Electronics Limited,Other,87.02,0.5,161.0,128450400.0,155868000.0,71668800.0,355987200.0,flat,0.0,https://www.chittorgarh.com/ipo/aimtron-electronics-ipo/1734/,flat,real_scraped,False,2021-06-05,15.23,1.44,-0.01,2.56
Radiant Cash Management Services Limited,Other,256.64,0.5,94.0,2815950.0,0.0,7934550.0,14627700.0,flat,0.0,https://www.chittorgarh.com/ipo/radiant-cash-management-ipo/1355/,flat,real_scraped,True,2021-06-11,13.78,1.01,-0.1,-0.99
DCX Systems Limited,Other,500.0,0.5,207.0,156788424.0,0.0,688549896.0,1012754232.0,flat,0.0,https://www.chittorgarh.com/ipo/dcx-systems-ipo/1316/,flat,real_scraped,True,2021-06-25,29.03,1.57,0.07,4.93
Tejas Cargo India Limited,Other,105.84,0.5,168.0,2268800.0,952800.0,1578400.0,4846400.0,flat,0.0,https://www.chittorgarh.com/ipo/tejas-cargo-ipo/1992/,flat,real_scraped,False,2021-06-28,31.76,1.41,-0.03,3.83
Creative Graphics Solutions India Limited,Other,54.4,0.5,85.0,307766400.0,431235200.0,120132800.0,859134400.0,flat,0.0,https://www.chittorgarh.com/ipo/creative-graphics-solutions-india-ipo/1693/,flat,real_scraped,False,2021-07-06,10.29,1.97,-0.06,1.44
Sahasra Electronics Solutions Limited,Other,186.16,0.5,283.0,163702000.0,244359000.0,125965600.0,534026600.0,flat,0.0,https://www.chittorgarh.com/ipo/sahasra-electronics-solutions-ipo/1872/,flat,real_scraped,False,2021-07-16,28.22,1.25,-0.05,4.17
Grand Continent Hotels Limited,Other,74.46,0.5,113.0,2888400.0,1300800.0,3666000.0,7867200.0,flat,0.0,https://www.chittorgarh.com/ipo/grand-continent-hotels-ipo/2187/,flat,real_scraped,True,2021-07-27,13.0,0.55,0.02,-2.95
Rikhav Securities Limited,Other,88.82,0.5,86.0,866684800.0,912302400.0,334184000.0,2113171200.0,flat,0.0,https://www.chittorgarh.com/ipo/rikhav-securities-ipo/1964/,flat,real_scraped,False,2021-08-05,30.08,1.31,-0.01,1.94
Easy Trip Planners Limited,Other,510.0,0.5,187.0,193038240.0,0.0,637767440.0,2402782320.0,flat,0.0,https://www.chittorgarh.com/ipo/easemytrip-ipo/1089/,flat,real_scraped,True,2021-08-19,30.86,0.82,-0.06,-3.51
Landmark Cars Limited,Other,552.0,0.5,506.0,2352364.0,0.0,19962817.0,24645882.0,flat,0.0,https://www.chittorgarh.com/ipo/landmark-cars-ipo/1338/,flat,real_scraped,True,2021-08-24,35.67,2.45,0.04,-2.25
